Sample#,jitter_arduino,gps_rpi,gps_pure,mote,SampleTime,units
541,01,00,00,00,16,ns
542,11,00,00,00,499.99,ms
543,01,00,00,00,40,ns
544,00,00,00,00,499.99,ms
545,01,00,00,00,40,ns
546,11,00,00,00,499.99,ms
547,10,00,00,00,32,ns
548,00,00,00,00,499.99,ms
549,01,00,00,00,16,ns
550,11,00,00,00,499.99,ms
551,10,00,00,00,24,ns
552,00,00,00,00,499.99,ms
553,10,00,00,00,8,ns
554,11,00,00,00,499.99,ms
555,10,00,00,00,32,ns
556,00,00,00,00,499.99,ms
557,01,00,00,00,24,ns
558,11,00,00,00,499.99,ms
559,10,00,00,00,56,ns
560,00,00,00,00,499.99,ms
561,01,00,00,00,40,ns
562,11,00,00,00,499.99,ms
563,10,00,00,00,40,ns
564,00,00,00,00,499.99,ms
565,01,00,00,00,8,ns
566,11,00,00,00,500.01,ms
567,10,00,00,00,32,ns
568,00,00,00,00,499.96,ms
569,01,00,00,00,40,ns
570,11,00,00,00,499.97,ms
571,10,00,00,00,24,ns
572,00,00,00,00,500.00,ms
573,10,00,00,00,16,ns
574,11,00,00,00,499.99,ms
575,01,00,00,00,8,ns
576,00,00,00,00,499.99,ms
577,10,00,00,00,48,ns
578,11,00,00,00,499.99,ms
579,01,00,00,00,56,ns
580,00,00,00,00,499.99,ms
581,10,00,00,00,88,ns
582,11,00,00,00,499.99,ms
583,01,00,00,00,104,ns
584,00,00,00,00,499.99,ms
585,10,00,00,00,144,ns
586,11,00,00,00,499.99,ms
587,01,00,00,00,112,ns
588,00,00,00,00,499.99,ms
589,10,00,00,00,184,ns
590,11,00,00,00,499.99,ms
591,01,00,00,00,168,ns
592,00,00,00,00,499.99,ms
593,10,00,00,00,248,ns
594,11,00,00,00,499.99,ms
595,01,00,00,00,208,ns
596,00,00,00,00,499.99,ms
597,10,00,00,00,232,ns
598,11,00,00,00,499.99,ms
599,01,00,00,00,296,ns
600,00,00,00,00,499.99,ms
601,10,00,00,00,328,ns
602,11,00,00,00,499.99,ms
603,01,00,00,00,336,ns
604,00,00,00,00,499.99,ms
605,10,00,00,00,336,ns
606,11,00,00,00,500.01,ms
607,01,00,00,00,16,ns
608,00,00,00,00,499.96,ms
609,10,00,00,00,432,ns
610,11,00,00,00,499.97,ms
611,01,00,00,00,8,ns
612,00,00,00,00,500.00,ms
613,01,00,00,00,16,ns
614,11,00,00,00,499.99,ms
615,10,00,00,00,16,ns
616,00,00,00,00,499.99,ms
617,01,00,00,00,8,ns
618,11,00,00,00,499.99,ms
619,10,00,00,00,16,ns
620,00,00,00,00,499.99,ms
621,11,00,00,00,499.99,ms
622,10,00,00,00,16,ns
623,00,00,00,00,499.99,ms
624,01,00,00,00,48,ns
625,11,00,00,00,499.99,ms
626,10,00,00,00,24,ns
627,00,00,00,00,499.99,ms
628,01,00,00,00,24,ns
629,11,00,00,00,499.99,ms
630,10,00,00,00,32,ns
631,00,00,00,00,499.99,ms
632,01,00,00,00,32,ns
633,11,00,00,00,499.99,ms
634,10,00,00,00,32,ns
635,00,00,00,00,499.99,ms
636,01,00,00,00,32,ns
637,11,00,00,00,499.99,ms
638,10,00,00,00,40,ns
639,00,00,00,00,499.99,ms
640,01,00,00,00,40,ns
641,11,00,00,00,499.99,ms
642,10,00,00,00,56,ns
643,00,00,00,00,499.99,ms
644,01,00,00,00,40,ns
645,11,00,00,00,500.01,ms
646,01,00,00,00,8,ns
647,00,00,00,00,499.96,ms
648,01,00,00,00,32,ns
649,11,00,00,00,499.97,ms
650,01,00,00,00,8,ns
651,00,00,00,00,500.00,ms
652,10,00,00,00,8,ns
653,11,00,00,00,499.99,ms
654,01,00,00,00,24,ns
655,00,00,00,00,499.99,ms
656,01,00,00,00,24,ns
657,11,00,00,00,499.99,ms
658,00,00,00,00,499.99,ms
659,10,00,00,00,48,ns
660,11,00,00,00,499.99,ms
661,00,00,00,00,499.99,ms
662,01,00,00,00,8,ns
663,11,00,00,00,499.99,ms
664,10,00,00,00,32,ns
665,00,00,00,00,499.99,ms
666,01,00,00,00,48,ns
667,11,00,00,00,499.99,ms
668,10,00,00,00,16,ns
669,00,00,00,00,499.99,ms
670,01,00,00,00,16,ns
671,11,00,00,00,499.99,ms
672,10,00,00,00,40,ns
673,00,00,00,00,499.99,ms
674,01,00,00,00,24,ns
675,11,00,00,00,499.99,ms
676,10,00,00,00,24,ns
677,00,00,00,00,499.99,ms
678,01,00,00,00,24,ns
679,11,00,00,00,499.99,ms
680,10,00,00,00,16,ns
681,00,00,00,00,499.99,ms
682,01,00,00,00,48,ns
683,11,00,00,00,500.01,ms
684,10,00,00,00,8,ns
685,00,00,00,00,499.96,ms
686,01,00,00,00,32,ns
687,11,00,00,00,499.97,ms
688,10,00,00,00,8,ns
689,00,00,00,00,500.00,ms
690,01,00,00,00,48,ns
691,11,00,00,00,499.99,ms
692,01,00,00,00,24,ns
693,00,00,00,00,499.99,ms
694,01,00,00,00,8,ns
695,11,00,00,00,499.99,ms
696,10,00,00,00,16,ns
697,00,00,00,00,499.99,ms
698,10,00,00,00,24,ns
699,11,00,00,00,499.99,ms
700,10,00,00,00,24,ns
701,00,00,00,00,499.99,ms
702,01,00,00,00,16,ns
703,11,00,00,00,499.99,ms
704,10,00,00,00,16,ns
705,00,00,00,00,499.99,ms
706,10,00,00,00,16,ns
707,11,00,00,00,499.99,ms
708,00,00,00,00,499.99,ms
709,01,00,00,00,40,ns
710,11,00,00,00,499.99,ms
711,10,00,00,00,48,ns
712,00,00,00,00,499.99,ms
713,01,00,00,00,24,ns
714,11,00,00,00,499.99,ms
715,00,00,00,00,499.99,ms
716,01,00,00,00,32,ns
717,11,00,00,00,499.99,ms
718,10,00,00,00,64,ns
719,00,00,00,00,499.99,ms
720,01,00,00,00,40,ns
721,11,00,00,00,500.01,ms
722,10,00,00,00,24,ns
723,00,00,00,00,499.96,ms
724,01,00,00,00,32,ns
725,11,00,00,00,499.97,ms
726,01,00,00,00,40,ns
727,00,00,00,00,500.00,ms
728,10,00,00,00,48,ns
729,11,00,00,00,499.99,ms
730,01,00,00,00,56,ns
731,00,00,00,00,499.99,ms
732,01,00,00,00,8,ns
733,11,00,00,00,499.99,ms
734,01,00,00,00,64,ns
735,00,00,00,00,499.99,ms
736,10,00,00,00,48,ns
737,11,00,00,00,499.99,ms
738,01,00,00,00,56,ns
739,00,00,00,00,499.99,ms
740,10,00,00,00,24,ns
741,11,00,00,00,499.99,ms
742,01,00,00,00,8,ns
743,00,00,00,00,499.99,ms
744,10,00,00,00,48,ns
745,11,00,00,00,499.99,ms
746,01,00,00,00,8,ns
747,00,00,00,00,499.99,ms
748,10,00,00,00,48,ns
749,11,00,00,00,499.99,ms
750,01,00,00,00,24,ns
751,00,00,00,00,499.99,ms
752,10,00,00,00,24,ns
753,11,00,00,00,499.99,ms
754,10,00,00,00,8,ns
755,00,00,00,00,499.99,ms
756,10,00,00,00,16,ns
757,11,00,00,00,499.99,ms
758,01,00,00,00,16,ns
759,00,00,00,00,499.99,ms
760,01,00,00,00,24,ns
761,11,00,00,00,500.01,ms
762,00,00,00,00,499.96,ms
763,10,00,00,00,16,ns
764,11,00,00,00,499.97,ms
765,01,00,00,00,8,ns
766,00,00,00,00,500.00,ms
767,11,00,00,00,499.99,ms
768,01,00,00,00,24,ns
769,00,00,00,00,499.99,ms
770,01,00,00,00,8,ns
771,11,00,00,00,499.99,ms
772,10,00,00,00,8,ns
773,00,00,00,00,499.99,ms
774,10,00,00,00,8,ns
775,11,00,00,00,499.99,ms
776,10,00,00,00,48,ns
777,00,00,00,00,499.99,ms
778,01,00,00,00,16,ns
779,11,00,00,00,499.99,ms
780,10,00,00,00,8,ns
781,00,00,00,00,499.99,ms
782,10,00,00,00,16,ns
783,11,00,00,00,499.99,ms
784,10,00,00,00,24,ns
785,00,00,00,00,499.99,ms
786,01,00,00,00,40,ns
787,11,00,00,00,499.99,ms
788,10,00,00,00,24,ns
789,00,00,00,00,499.99,ms
790,01,00,00,00,24,ns
791,11,00,00,00,499.99,ms
792,01,00,00,00,16,ns
793,00,00,00,00,499.99,ms
794,01,00,00,00,32,ns
795,11,00,00,00,499.99,ms
796,10,00,00,00,24,ns
797,00,00,00,00,499.99,ms
798,01,00,00,00,24,ns
799,11,00,00,00,500.01,ms
800,00,00,00,00,499.96,ms
801,01,00,00,00,16,ns
802,11,00,00,00,499.97,ms
803,00,00,00,00,500.00,ms
804,10,00,00,00,8,ns
805,11,00,00,00,499.99,ms
806,01,00,00,00,16,ns
807,00,00,00,00,499.99,ms
808,01,00,00,00,16,ns
809,11,00,00,00,499.99,ms
810,01,00,00,00,8,ns
811,00,00,00,00,499.99,ms
812,10,00,00,00,8,ns
813,11,00,00,00,499.99,ms
814,10,00,00,00,24,ns
815,00,00,00,00,499.99,ms
816,10,00,00,00,40,ns
817,11,00,00,00,499.99,ms
818,10,00,00,00,24,ns
819,00,00,00,00,499.99,ms
820,01,00,00,00,16,ns
821,11,00,00,00,499.99,ms
822,10,00,00,00,8,ns
823,00,00,00,00,499.99,ms
824,11,00,00,00,499.99,ms
825,00,00,00,00,499.99,ms
826,01,00,00,00,16,ns
827,11,00,00,00,499.99,ms
828,10,00,00,00,8,ns
829,00,00,00,00,499.99,ms
830,11,00,00,00,499.99,ms
831,10,00,00,00,8,ns
832,00,00,00,00,499.99,ms
833,10,00,00,00,16,ns
834,11,00,00,00,500.01,ms
835,01,00,00,00,8,ns
836,00,00,00,00,499.96,ms
837,11,00,00,00,499.97,ms
838,10,00,00,00,32,ns
839,00,00,00,00,500.00,ms
840,01,00,00,00,32,ns
841,11,00,00,00,499.99,ms
842,10,00,00,00,40,ns
843,00,00,00,00,499.99,ms
844,01,00,00,00,40,ns
845,11,00,00,00,499.99,ms
846,10,00,00,00,48,ns
847,00,00,00,00,499.99,ms
848,01,00,00,00,32,ns
849,11,00,00,00,499.99,ms
850,00,00,00,00,499.99,ms
851,01,00,00,00,8,ns
852,11,00,00,00,499.99,ms
853,10,00,00,00,32,ns
854,00,00,00,00,499.99,ms
855,01,00,00,00,32,ns
856,11,00,00,00,499.99,ms
857,10,00,00,00,64,ns
858,00,00,00,00,499.99,ms
859,01,00,00,00,8,ns
860,11,00,00,00,499.99,ms
861,10,00,00,00,32,ns
862,00,00,00,00,499.99,ms
