Sample#,SampleTime,units,arduino,gps
596,2.86,us,2,0
597,499.99,ms,0,0
598,3.05,us,1,0
599,399.90,ms,3,0
600,100.00,ms,3,1
601,95.34,us,3,0
602,3.20,us,2,0
603,499.99,ms,0,0
604,3.38,us,1,0
605,399.89,ms,3,0
606,100.00,ms,3,1
607,103.30,us,3,0
608,3.54,us,2,0
609,499.99,ms,0,0
610,3.67,us,1,0
611,399.88,ms,3,0
612,100.00,ms,3,1
613,111.25,us,3,0
614,3.84,us,2,0
615,499.99,ms,0,0
616,3.97,us,1,0
617,399.87,ms,3,0
618,100.00,ms,3,1
619,119.20,us,3,0
620,4.16,us,2,0
621,499.99,ms,0,0
622,4.29,us,1,0
623,399.86,ms,3,0
624,100.00,ms,3,1
625,127.16,us,3,0
626,4.47,us,2,0
627,499.99,ms,0,0
628,4.63,us,1,0
629,399.85,ms,3,0
630,100.00,ms,3,1
631,135.18,us,3,0
632,4.77,us,2,0
633,499.99,ms,0,0
634,4.98,us,1,0
635,399.85,ms,3,0
636,100.00,ms,3,1
637,143.09,us,3,0
638,5.14,us,2,0
639,499.99,ms,0,0
640,5.26,us,1,0
641,399.84,ms,3,0
642,100.00,ms,3,1
643,151.05,us,3,0
644,5.42,us,2,0
645,499.99,ms,0,0
646,5.61,us,1,0
647,399.83,ms,3,0
648,100.00,ms,3,1
649,158.99,us,3,0
650,5.76,us,2,0
651,499.99,ms,0,0
652,5.91,us,1,0
653,399.82,ms,3,0
654,100.00,ms,3,1
655,166.96,us,3,0
656,6.08,us,2,0
657,499.99,ms,0,0
658,6.26,us,1,0
659,399.81,ms,3,0
660,100.00,ms,3,1
661,174.90,us,3,0
662,6.40,us,2,0
663,499.99,ms,0,0
664,6.55,us,1,0
665,399.80,ms,3,0
666,100.00,ms,3,1
667,182.86,us,3,0
668,6.73,us,2,0
669,499.99,ms,0,0
670,6.92,us,1,0
671,399.80,ms,3,0
672,100.00,ms,3,1
673,190.82,us,3,0
674,7.05,us,2,0
675,499.98,ms,0,0
676,7.22,us,1,0
677,399.79,ms,3,0
678,100.00,ms,3,1
679,198.80,us,3,0
680,7.37,us,2,0
681,499.98,ms,0,0
682,7.52,us,1,0
683,399.78,ms,3,0
684,100.00,ms,3,1
685,206.74,us,3,0
686,7.74,us,2,0
687,499.98,ms,0,0
688,7.87,us,1,0
689,399.77,ms,3,0
690,100.00,ms,3,1
691,214.73,us,3,0
692,7.99,us,2,0
693,499.98,ms,0,0
694,8.20,us,1,0
695,399.76,ms,3,0
696,100.00,ms,3,1
697,222.65,us,3,0
698,8.38,us,2,0
699,499.98,ms,0,0
700,8.47,us,1,0
701,399.76,ms,3,0
702,100.00,ms,3,1
703,230.62,us,3,0
704,8.67,us,2,0
705,499.98,ms,0,0
706,8.84,us,1,0
707,399.75,ms,3,0
708,100.00,ms,3,1
709,238.61,us,3,0
710,8.97,us,2,0
711,499.98,ms,0,0
712,9.17,us,1,0
713,399.74,ms,3,0
714,100.00,ms,3,1
715,246.53,us,3,0
