Sample#,Sync,SampleTime,units
787,3,496.57,ms
788,2,3.42,ms
789,0,496.52,ms
790,1,3.53,ms
791,3,496.49,ms
792,2,3.45,ms
793,0,496.50,ms
794,1,3.53,ms
795,3,496.51,ms
796,2,3.46,ms
797,0,496.48,ms
798,1,3.54,ms
799,3,496.44,ms
800,2,3.52,ms
801,0,496.47,ms
802,1,3.56,ms
803,3,496.42,ms
804,2,3.54,ms
805,0,496.49,ms
806,1,3.49,ms
807,3,496.45,ms
808,2,3.58,ms
809,0,496.44,ms
810,1,3.52,ms
811,3,496.43,ms
812,2,3.60,ms
813,0,496.42,ms
814,1,3.54,ms
815,3,496.41,ms
816,2,3.61,ms
817,0,496.40,ms
818,1,3.56,ms
819,3,496.39,ms
820,2,3.64,ms
821,0,496.34,ms
822,1,3.62,ms
823,3,496.42,ms
824,2,3.56,ms
825,0,496.37,ms
826,1,3.63,ms
827,3,496.39,ms
828,2,3.60,ms
829,0,496.35,ms
830,1,3.67,ms
831,3,496.36,ms
832,2,3.61,ms
833,0,496.33,ms
834,1,3.69,ms
835,3,496.29,ms
836,2,3.67,ms
837,0,496.32,ms
838,1,3.72,ms
839,3,496.26,ms
840,2,3.69,ms
841,0,496.35,ms
842,1,3.66,ms
843,3,496.28,ms
844,2,3.70,ms
845,0,496.33,ms
846,1,3.66,ms
847,3,496.27,ms
848,2,3.76,ms
849,0,496.27,ms
850,1,3.69,ms
851,3,496.26,ms
852,2,3.76,ms
853,0,496.25,ms
854,1,3.72,ms
855,3,496.23,ms
856,2,3.79,ms
857,0,496.19,ms
858,1,3.77,ms
859,3,496.27,ms
860,2,3.74,ms
861,0,496.20,ms
862,1,3.78,ms
863,3,496.24,ms
864,2,3.75,ms
865,0,496.21,ms
866,1,3.79,ms
867,3,496.23,ms
868,2,3.76,ms
869,0,496.19,ms
870,1,3.83,ms
871,3,496.14,ms
872,2,3.82,ms
873,0,496.17,ms
874,1,3.86,ms
875,3,496.11,ms
876,2,3.84,ms
877,0,496.20,ms
878,1,3.78,ms
879,3,496.15,ms
880,2,3.85,ms
881,0,496.16,ms
882,1,3.82,ms
883,3,496.13,ms
884,2,3.90,ms
885,0,496.12,ms
886,1,3.84,ms
887,3,496.11,ms
888,2,3.91,ms
889,0,496.10,ms
890,1,3.85,ms
891,3,496.10,ms
892,2,3.94,ms
893,0,496.04,ms
894,1,3.91,ms
895,3,496.12,ms
896,2,3.92,ms
897,0,496.03,ms
898,1,3.92,ms
899,3,496.18,ms
900,2,3.81,ms
901,0,496.06,ms
902,1,4.00,ms
903,3,496.01,ms
904,2,3.91,ms
905,0,496.04,ms
906,1,4.06,ms
907,3,495.95,ms
908,2,3.93,ms
909,0,496.02,ms
910,1,4.01,ms
911,3,495.97,ms
912,2,4.02,ms
913,0,496.00,ms
914,1,4.00,ms
915,3,495.96,ms
916,2,4.02,ms
917,0,495.99,ms
918,1,3.96,ms
919,3,495.99,ms
920,2,4.02,ms
921,0,496.01,ms
922,1,3.98,ms
923,3,495.96,ms
924,2,4.07,ms
925,0,495.95,ms
926,1,4.00,ms
927,3,495.95,ms
928,2,4.08,ms
929,0,495.93,ms
930,1,4.02,ms
931,3,495.94,ms
932,2,4.09,ms
933,0,495.89,ms
934,1,4.07,ms
935,3,495.92,ms
936,2,4.07,ms
937,0,495.91,ms
938,1,4.09,ms
939,3,495.94,ms
940,2,4.06,ms
941,0,495.89,ms
942,1,4.14,ms
943,3,495.88,ms
944,2,4.07,ms
945,0,495.88,ms
946,1,4.16,ms
947,3,495.86,ms
948,2,4.09,ms
949,0,495.86,ms
950,1,4.17,ms
951,3,495.82,ms
952,2,4.14,ms
953,0,495.85,ms
954,1,4.17,ms
955,3,495.80,ms
956,2,4.16,ms
957,0,495.87,ms
958,1,4.12,ms
959,3,495.82,ms
960,2,4.21,ms
961,0,495.81,ms
962,1,4.15,ms
963,3,495.81,ms
964,2,4.23,ms
965,0,495.79,ms
966,1,4.16,ms
967,3,495.79,ms
968,2,4.24,ms
969,0,495.75,ms
970,1,4.21,ms
971,3,495.88,ms
972,2,4.14,ms
973,0,495.73,ms
974,1,4.23,ms
975,3,496.35,ms
976,2,3.63,ms
977,0,495.75,ms
978,1,4.25,ms
979,3,495.77,ms
980,2,4.22,ms
981,0,495.73,ms
982,1,4.32,ms
983,3,495.70,ms
984,2,4.24,ms
985,0,495.71,ms
986,1,4.31,ms
987,3,495.67,ms
988,2,4.29,ms
989,0,495.70,ms
990,1,4.33,ms
991,3,495.64,ms
992,2,4.31,ms
993,0,495.73,ms
994,1,4.31,ms
995,3,495.63,ms
996,2,4.32,ms
997,0,495.70,ms
998,1,4.29,ms
999,3,495.66,ms
1000,2,4.37,ms
1001,0,495.65,ms
1002,1,4.31,ms
1003,3,495.64,ms
1004,2,4.39,ms
1005,0,495.60,ms
1006,1,4.36,ms
1007,3,495.63,ms
1008,2,4.40,ms
1009,0,495.58,ms
1010,1,4.38,ms
1011,3,495.66,ms
1012,2,4.37,ms
1013,0,495.55,ms
1014,1,4.40,ms
1015,3,495.62,ms
1016,2,4.36,ms
1017,0,495.59,ms
1018,1,4.42,ms
1019,3,495.60,ms
1020,2,4.38,ms
1021,0,495.57,ms
1022,1,4.49,ms
1023,3,495.50,ms
1024,2,4.44,ms
1025,0,495.55,ms
1026,1,4.48,ms
1027,3,495.51,ms
1028,2,4.45,ms
1029,0,495.69,ms
1030,1,4.34,ms
1031,3,495.48,ms
1032,2,4.47,ms
1033,0,495.55,ms
1034,1,4.43,ms
1035,3,495.54,ms
1036,2,4.47,ms
1037,0,495.56,ms
1038,1,4.42,ms
1039,3,495.49,ms
1040,2,4.56,ms
1041,0,495.47,ms
1042,1,4.47,ms
1043,3,495.47,ms
1044,2,4.55,ms
1045,0,495.43,ms
1046,1,4.53,ms
1047,3,495.50,ms
1048,2,4.53,ms
1049,0,495.41,ms
1050,1,4.55,ms
1051,3,495.48,ms
1052,2,4.55,ms
1053,0,495.40,ms
1054,1,4.56,ms
1055,3,495.45,ms
1056,2,4.53,ms
1057,0,495.42,ms
1058,1,4.58,ms
1059,3,495.44,ms
1060,2,4.55,ms
1061,0,495.40,ms
1062,1,4.63,ms
1063,3,495.35,ms
1064,2,4.61,ms
1065,0,495.39,ms
1066,1,4.64,ms
1067,3,495.33,ms
1068,2,4.62,ms
1069,0,495.52,ms
1070,1,4.50,ms
1071,3,495.33,ms
1072,2,4.63,ms
1073,0,495.38,ms
1074,1,4.61,ms
1075,3,495.35,ms
1076,2,4.67,ms
1077,0,495.36,ms
1078,1,4.62,ms
1079,3,495.32,ms
1080,2,4.80,ms
1081,0,495.22,ms
1082,1,4.64,ms
1083,3,495.31,ms
1084,2,4.72,ms
1085,0,495.27,ms
1086,1,4.69,ms
1087,3,495.33,ms
1088,2,4.69,ms
1089,0,495.25,ms
1090,1,4.71,ms
1091,3,495.31,ms
1092,2,4.68,ms
1093,0,495.27,ms
1094,1,4.73,ms
1095,3,495.30,ms
1096,2,4.69,ms
1097,0,495.25,ms
1098,1,4.78,ms
1099,3,495.24,ms
1100,2,4.72,ms
1101,0,495.24,ms
1102,1,4.80,ms
1103,3,495.18,ms
1104,2,4.77,ms
1105,0,495.23,ms
1106,1,4.80,ms
1107,3,495.18,ms
1108,2,4.78,ms
1109,0,495.35,ms
1110,1,4.65,ms
1111,3,495.19,ms
1112,2,4.80,ms
1113,0,495.22,ms
1114,1,4.77,ms
1115,3,495.17,ms
1116,2,4.86,ms
1117,0,495.16,ms
1118,1,4.79,ms
1119,3,495.16,ms
1120,2,4.87,ms
1121,0,495.10,ms
1122,1,4.85,ms
1123,3,495.16,ms
1124,2,4.86,ms
1125,0,495.11,ms
1126,1,4.86,ms
1127,3,495.25,ms
1128,2,4.73,ms
1129,0,495.13,ms
1130,1,4.88,ms
1131,3,495.14,ms
1132,2,4.85,ms
1133,0,495.10,ms
1134,1,4.93,ms
1135,3,495.09,ms
1136,2,4.86,ms
1137,0,495.09,ms
1138,1,4.95,ms
1139,3,495.07,ms
1140,2,4.88,ms
1141,0,495.07,ms
1142,1,4.95,ms
1143,3,495.03,ms
1144,2,4.93,ms
1145,0,495.09,ms
1146,1,4.90,ms
1147,3,495.04,ms
1148,2,4.95,ms
1149,0,495.07,ms
1150,1,4.92,ms
1151,3,495.03,ms
1152,2,4.98,ms
1153,0,495.03,ms
1154,1,4.90,ms
1155,3,495.05,ms
1156,2,4.96,ms
1157,0,495.05,ms
1158,1,4.88,ms
1159,3,495.07,ms
1160,2,4.93,ms
1161,0,495.05,ms
1162,1,4.89,ms
1163,3,495.09,ms
1164,2,4.91,ms
1165,0,495.07,ms
1166,1,4.88,ms
1167,3,495.15,ms
1168,2,4.82,ms
1169,0,495.12,ms
1170,1,4.90,ms
1171,3,495.11,ms
1172,2,4.81,ms
1173,0,495.14,ms
1174,1,4.87,ms
1175,3,495.14,ms
1176,2,4.79,ms
1177,0,495.16,ms
1178,1,4.85,ms
1179,3,495.13,ms
1180,2,4.81,ms
1181,0,495.19,ms
1182,1,4.82,ms
1183,3,495.14,ms
1184,2,4.80,ms
1185,0,495.27,ms
1186,1,4.70,ms
1187,3,495.20,ms
1188,2,4.77,ms
1189,0,495.25,ms
1190,1,4.72,ms
1191,3,495.23,ms
1192,2,4.79,ms
1193,0,495.23,ms
1194,1,4.70,ms
1195,3,495.24,ms
1196,2,4.76,ms
1197,0,495.23,ms
1198,1,4.72,ms
1199,3,495.31,ms
1200,2,4.70,ms
1201,0,495.24,ms
1202,1,4.70,ms
1203,3,495.43,ms
1204,2,4.55,ms
1205,0,495.29,ms
1206,1,4.69,ms
1207,3,495.33,ms
1208,2,4.64,ms
1209,0,495.32,ms
1210,1,4.70,ms
1211,3,495.31,ms
1212,2,4.62,ms
1213,0,495.33,ms
1214,1,4.68,ms
1215,3,495.31,ms
1216,2,4.64,ms
1217,0,495.35,ms
1218,1,4.66,ms
1219,3,495.32,ms
1220,2,4.63,ms
1221,0,495.41,ms
1222,1,4.60,ms
1223,3,495.33,ms
1224,2,4.61,ms
1225,0,495.41,ms
1226,1,4.55,ms
1227,3,495.40,ms
1228,2,4.62,ms
1229,0,495.39,ms
1230,1,4.54,ms
1231,3,495.41,ms
1232,2,4.59,ms
1233,0,495.40,ms
1234,1,4.55,ms
1235,3,495.43,ms
1236,2,4.57,ms
1237,0,495.41,ms
