Sample#,gps_arduino,gps_rpi,gps_pure,mote,SampleTime,units
400,11,11,00,11,91.78,us
401,11,10,00,11,24.23,us
402,11,00,00,11,291.24,ms
403,11,00,00,10,83.35,us
404,11,00,00,00,108.42,ms
405,11,00,01,00,24,ns
406,11,00,11,00,100.00,ms
407,11,00,10,00,24,ns
408,11,00,00,00,126.58,us
409,01,00,00,00,728,ns
410,00,00,00,00,94.87,us
411,00,01,00,00,24.28,us
412,00,11,00,00,291.24,ms
413,00,11,00,01,88.09,us
414,00,11,00,11,208.54,ms
415,10,11,00,11,48,ns
416,11,11,00,11,95.25,us
417,11,10,00,11,21.90,us
418,11,00,00,11,291.25,ms
419,11,00,00,10,93.81,us
420,11,00,00,00,108.41,ms
421,11,00,01,00,32,ns
422,11,00,11,00,100.00,ms
423,11,00,10,00,24,ns
424,11,00,00,00,125.77,us
425,10,00,00,00,1.51,us
426,00,00,00,00,94.85,us
427,00,01,00,00,21.34,us
428,00,11,00,00,291.26,ms
429,00,11,00,01,103.39,us
430,00,11,00,11,208.51,ms
431,01,11,00,11,2.25,us
432,11,11,00,11,124.98,us
433,11,01,00,11,30.49,us
434,11,00,00,11,291.21,ms
435,11,00,00,10,123.15,us
436,11,00,00,00,108.38,ms
437,11,00,01,00,24,ns
438,11,00,11,00,100.00,ms
439,11,00,10,00,24,ns
440,11,00,00,00,124.20,us
441,10,00,00,00,2.94,us
442,00,00,00,00,116.94,us
443,00,10,00,00,59.73,us
444,00,11,00,00,291.19,ms
445,00,11,00,01,126.65,us
446,00,11,00,11,208.49,ms
447,01,11,00,11,3.62,us
448,11,11,00,11,119.80,us
449,11,01,00,11,20.24,us
450,11,00,00,11,291.24,ms
451,11,00,00,10,138.46,us
452,11,00,00,00,108.35,ms
453,11,00,01,00,24,ns
454,11,00,11,00,100.00,ms
455,11,00,10,00,24,ns
456,11,00,00,00,122.67,us
457,10,00,00,00,4.26,us
458,00,00,00,00,122.60,us
459,00,10,00,00,19.86,us
460,00,11,00,00,291.24,ms
461,00,11,00,01,145.96,us
462,00,11,00,11,208.45,ms
463,01,11,00,11,4.99,us
464,11,11,00,11,129.12,us
465,11,01,00,11,28.75,us
466,11,00,00,11,291.18,ms
467,11,00,00,01,50.60,us
468,11,00,00,00,108.48,ms
469,11,00,01,00,32,ns
470,11,00,11,00,100.00,ms
471,11,00,10,00,32,ns
472,11,00,00,00,126.75,us
473,01,00,00,00,2.03,us
474,00,00,00,00,119.31,us
475,00,10,00,00,25.56,us
476,00,11,00,00,291.20,ms
477,00,11,00,10,50.92,us
478,00,11,00,11,208.59,ms
479,10,11,00,11,1.40,us
480,11,11,00,11,104.36,us
481,11,01,00,11,52.18,us
482,11,00,00,11,291.19,ms
483,11,00,00,01,57.02,us
484,11,00,00,00,108.46,ms
485,11,00,01,00,24,ns
486,11,00,11,00,100.00,ms
487,11,00,10,00,24,ns
488,11,00,00,00,127.30,us
489,10,00,00,00,296,ns
490,00,00,00,00,107.53,us
491,00,10,00,00,38.67,us
492,00,11,00,00,291.21,ms
493,00,11,00,10,46.56,us
494,00,11,00,11,208.58,ms
495,10,11,00,11,80,ns
496,11,11,00,11,102.58,us
497,11,01,00,11,39.41,us
498,11,00,00,11,291.22,ms
499,11,00,00,01,48.93,us
500,11,00,00,00,108.45,ms
501,11,00,01,00,16,ns
502,11,00,11,00,100.00,ms
503,11,00,10,00,16,ns
504,11,00,00,00,125.74,us
505,10,00,00,00,1.53,us
506,00,00,00,00,100.13,us
507,00,10,00,00,55.54,us
508,00,11,00,00,291.21,ms
509,00,11,00,10,54.40,us
510,00,11,00,11,208.57,ms
511,01,11,00,11,2.31,us
512,11,11,00,11,99.37,us
513,11,01,00,11,46.70,us
514,11,00,00,11,291.22,ms
515,11,00,00,01,54.76,us
516,11,00,00,00,108.44,ms
517,11,00,01,00,32,ns
518,11,00,11,00,100.00,ms
519,11,00,10,00,32,ns
520,11,00,00,00,124.19,us
521,10,00,00,00,2.98,us
522,00,00,00,00,94.61,us
523,00,10,00,00,4.83,us
524,00,11,00,00,291.28,ms
525,00,11,00,10,50.28,us
526,00,11,00,11,208.55,ms
527,01,11,00,11,3.65,us
528,11,11,00,11,95.23,us
529,11,10,00,11,7.84,us
530,11,00,00,11,291.28,ms
531,11,00,00,01,50.56,us
532,11,00,00,00,108.43,ms
533,11,00,01,00,32,ns
534,11,00,11,00,100.00,ms
535,11,00,10,00,32,ns
536,11,00,00,00,122.66,us
537,10,00,00,00,4.34,us
538,00,00,00,00,94.10,us
539,00,10,00,00,1.06,us
540,00,11,00,00,291.29,ms
541,00,11,00,10,48.89,us
542,00,11,00,11,208.55,ms
543,01,11,00,11,5.02,us
544,11,11,00,11,95.74,us
545,11,10,00,11,3.35,us
546,11,00,00,11,291.30,ms
547,11,00,00,01,44.44,us
548,11,00,00,00,108.42,ms
549,11,00,01,00,16,ns
550,11,00,11,00,100.00,ms
551,11,00,10,00,24,ns
552,11,00,00,00,126.78,us
553,01,00,00,00,2.05,us
554,00,00,00,00,92.01,us
555,00,01,00,00,6.63,us
556,00,11,00,00,291.30,ms
557,00,11,00,10,46.48,us
558,00,11,00,11,208.54,ms
559,10,11,00,11,1.43,us
560,11,11,00,11,93.80,us
561,11,10,00,11,11.77,us
562,11,00,00,11,291.30,ms
563,11,00,00,01,43.78,us
564,11,00,00,00,108.41,ms
565,11,00,01,00,32,ns
566,11,00,11,00,100.00,ms
567,11,00,10,00,32,ns
568,11,00,00,00,126.59,us
569,01,00,00,00,728,ns
570,00,00,00,00,94.03,us
571,00,01,00,00,3.19,us
572,00,11,00,00,291.33,ms
573,00,11,00,10,44.02,us
574,00,11,00,11,208.52,ms
575,10,11,00,11,56,ns
576,11,11,00,11,99.64,us
577,11,10,00,11,4.06,us
578,11,00,00,11,291.32,ms
579,11,00,00,01,41.65,us
580,11,00,00,00,108.40,ms
581,11,00,01,00,32,ns
582,11,00,11,00,100.00,ms
583,11,00,10,00,24,ns
584,11,00,00,00,125.78,us
585,10,00,00,00,1.49,us
586,00,00,00,00,91.46,us
587,00,01,00,00,4.63,us
588,00,11,00,00,291.30,ms
589,00,11,00,10,85.98,us
590,00,11,00,11,208.50,ms
591,01,11,00,11,2.24,us
592,11,11,00,11,64.06,us
593,11,01,00,11,40.74,us
594,11,00,00,11,291.30,ms
