Sample#,SampleTime,units,arduino,gps
448,399.97,ms,3,0
449,100.00,ms,3,1
450,17.51,us,3,0
451,16,ns,1,0
452,499.99,ms,0,0
453,32,ns,1,0
454,399.97,ms,3,0
455,100.00,ms,3,1
456,17.46,us,3,0
457,48,ns,2,0
458,499.99,ms,0,0
459,16,ns,1,0
460,399.97,ms,3,0
461,100.00,ms,3,1
462,17.50,us,3,0
463,499.99,ms,0,0
464,48,ns,1,0
465,399.97,ms,3,0
466,100.00,ms,3,1
467,17.47,us,3,0
468,24,ns,2,0
469,499.99,ms,0,0
470,48,ns,1,0
471,399.97,ms,3,0
472,100.00,ms,3,1
473,17.41,us,3,0
474,72,ns,2,0
475,499.99,ms,0,0
476,72,ns,1,0
477,399.97,ms,3,0
478,100.00,ms,3,1
479,17.40,us,3,0
480,64,ns,2,0
481,499.99,ms,0,0
482,80,ns,1,0
483,399.97,ms,3,0
484,100.00,ms,3,1
485,17.38,us,3,0
486,80,ns,2,0
487,499.99,ms,0,0
488,72,ns,1,0
489,399.97,ms,3,0
490,100.00,ms,3,1
491,17.38,us,3,0
492,136,ns,2,0
493,499.99,ms,0,0
494,96,ns,1,0
495,399.97,ms,3,0
496,100.00,ms,3,1
497,40.95,us,3,0
498,8,ns,1,0
499,499.96,ms,0,0
500,104,ns,1,0
501,399.97,ms,3,0
502,100.00,ms,3,1
503,2.40,us,3,0
504,16,ns,1,0
505,500.00,ms,0,0
506,40,ns,2,0
507,399.97,ms,3,0
508,100.00,ms,3,1
509,17.50,us,3,0
510,24,ns,1,0
511,499.99,ms,0,0
512,32,ns,2,0
513,399.97,ms,3,0
514,100.00,ms,3,1
515,17.50,us,3,0
516,24,ns,1,0
517,499.99,ms,0,0
518,16,ns,2,0
519,399.97,ms,3,0
520,100.00,ms,3,1
521,17.50,us,3,0
522,499.99,ms,0,0
523,24,ns,2,0
524,399.97,ms,3,0
525,100.00,ms,3,1
526,17.49,us,3,0
527,24,ns,1,0
528,499.99,ms,0,0
529,399.97,ms,3,0
530,100.00,ms,3,1
531,17.47,us,3,0
532,16,ns,2,0
533,499.99,ms,0,0
534,16,ns,2,0
535,399.97,ms,3,0
536,100.00,ms,3,1
537,17.49,us,3,0
538,16,ns,1,0
539,499.99,ms,0,0
540,16,ns,1,0
541,399.97,ms,3,0
542,100.00,ms,3,1
543,17.47,us,3,0
544,8,ns,1,0
545,499.99,ms,0,0
546,24,ns,1,0
547,399.97,ms,3,0
548,100.00,ms,3,1
549,17.46,us,3,0
550,16,ns,2,0
551,499.99,ms,0,0
552,40,ns,1,0
553,399.97,ms,3,0
554,100.00,ms,3,1
555,40.98,us,3,0
556,16,ns,1,0
557,499.96,ms,0,0
558,72,ns,1,0
559,399.97,ms,3,0
560,100.00,ms,3,1
561,2.40,us,3,0
562,16,ns,1,0
563,500.00,ms,0,0
564,8,ns,2,0
565,399.97,ms,3,0
566,82.30,ms,3,1
567,8,ns,3,0
568,17.70,ms,3,1
569,17.50,us,3,0
570,16,ns,1,0
571,499.99,ms,0,0
572,16,ns,2,0
573,399.97,ms,3,0
574,100.00,ms,3,1
575,17.50,us,3,0
576,16,ns,2,0
577,499.99,ms,0,0
578,24,ns,1,0
579,399.97,ms,3,0
580,100.00,ms,3,1
581,17.49,us,3,0
582,40,ns,2,0
583,499.99,ms,0,0
584,16,ns,2,0
585,399.97,ms,3,0
586,100.00,ms,3,1
587,17.47,us,3,0
588,16,ns,2,0
589,499.99,ms,0,0
590,399.97,ms,3,0
591,100.00,ms,3,1
592,17.46,us,3,0
593,24,ns,2,0
594,499.99,ms,0,0
595,48,ns,1,0
596,399.97,ms,3,0
597,100.00,ms,3,1
598,17.47,us,3,0
599,40,ns,2,0
600,499.99,ms,0,0
601,32,ns,1,0
602,399.97,ms,3,0
603,100.00,ms,3,1
604,17.45,us,3,0
605,40,ns,2,0
606,499.99,ms,0,0
607,16,ns,1,0
608,399.97,ms,3,0
609,100.00,ms,3,1
610,17.46,us,3,0
611,24,ns,2,0
612,499.99,ms,0,0
613,399.97,ms,3,0
614,100.00,ms,3,1
615,40.97,us,3,0
616,8,ns,1,0
617,499.96,ms,0,0
618,8,ns,1,0
619,399.97,ms,3,0
620,100.00,ms,3,1
621,2.41,us,3,0
622,24,ns,1,0
623,500.00,ms,0,0
624,24,ns,2,0
625,399.97,ms,3,0
626,100.00,ms,3,1
627,17.50,us,3,0
628,40,ns,1,0
629,499.99,ms,0,0
630,40,ns,2,0
631,399.97,ms,3,0
632,100.00,ms,3,1
633,17.50,us,3,0
634,16,ns,1,0
635,2.74 ,s,0,0
